フォームリンク名,フォーム表示名,フィールドリンク名,フィールド表示名,フィールド型
Wf_Line_Form,【システム用】申請明細,vendor_name,取引先,単一行
Wf_Line_Form,【システム用】申請明細,description,摘要,単一行
Wf_Line_Form,【システム用】申請明細,qty,数量,数値
Wf_Line_Form,【システム用】申請明細,unit_price,単価,数値
Wf_Line_Form,【システム用】申請明細,amount,取引金額,数値
Wf_Line_Form,【システム用】申請明細,tax_rate,税区分,単一行
Wf_Line_Form,【システム用】申請明細,tax_amount,消費税額,数値
Wf_Line_Form,【システム用】申請明細,invoice_no,登録番号,単一行
Wf_Line_Form,【システム用】申請明細,updated_at,更新日時,単一行
Wf_Approval_Form,【システム用】承認履歴,request_id,申請ID,単一行
Wf_Approval_Form,【システム用】承認履歴,request_no,申請番号,単一行
Wf_Approval_Form,【システム用】承認履歴,step_no,ステップ番号,数値
Wf_Approval_Form,【システム用】承認履歴,step_name,ステップ名,単一行
Wf_Approval_Form,【システム用】承認履歴,step_type,種別,単一行
Wf_Approval_Form,【システム用】承認履歴,approver_id,承認者ID,単一行
Wf_Approval_Form,【システム用】承認履歴,approver_name,承認者,単一行
Wf_Approval_Form,【システム用】承認履歴,acted_by_id,処理者ID,単一行
Wf_Approval_Form,【システム用】承認履歴,acted_by_name,処理者,単一行
Wf_Approval_Form,【システム用】承認履歴,action,処理,単一行
Wf_Approval_Form,【システム用】承認履歴,comment,コメント,複数行
Wf_Approval_Form,【システム用】承認履歴,due_date,期限,単一行
Wf_Approval_Form,【システム用】承認履歴,acted_on,処理日時,単一行
Wf_Approval_Form,【システム用】承認履歴,is_delegate,代理承認（true/false）,単一行
Wf_Approval_Form,【システム用】承認履歴,updated_at,更新日時,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,log_time,日時,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,session_id,セッションID,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,actor_id,操作者ID,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,actor_name,操作者,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,actor_dept,操作者所属,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,actor_role,操作者権限,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,login_user,ログインID,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,action,操作,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,target_type,対象種別,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,target_id,対象ID,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,target_no,対象申請番号,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,target_subject,対象件名,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,type_code,申請区分,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,sensitivity,機微度,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,owner_dept,申請の所有部署,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,cross_dept,他部署からの閲覧（true/false）,単一行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,result_count,結果件数,数値
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,duration_sec,滞在秒数,数値
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,detail,備考,複数行
Wf_Access_Form,【システム用】閲覧証跡（追記専用）,user_agent,端末情報,単一行
Wf_Audit_Form,【システム用】操作証跡,log_time,日時,単一行
Wf_Audit_Form,【システム用】操作証跡,user_id,操作者ID,単一行
Wf_Audit_Form,【システム用】操作証跡,user_name,操作者,単一行
Wf_Audit_Form,【システム用】操作証跡,action_type,操作種別,単一行
Wf_Audit_Form,【システム用】操作証跡,target_type,対象種別,単一行
Wf_Audit_Form,【システム用】操作証跡,target_id,対象ID,単一行
Wf_Audit_Form,【システム用】操作証跡,detail,内容,複数行
Wf_Audit_Form,【システム用】操作証跡,session_id,セッションID,単一行
Wf_File_Form,【システム用】添付ファイル,file_key,ファイルキー,単一行
Wf_File_Form,【システム用】添付ファイル,request_id,申請ID,単一行
Wf_File_Form,【システム用】添付ファイル,request_no,申請番号,単一行
Wf_File_Form,【システム用】添付ファイル,file_name,ファイル名,単一行
Wf_File_Form,【システム用】添付ファイル,mime_type,種別,単一行
Wf_File_Form,【システム用】添付ファイル,file_size,サイズ（バイト）,数値
Wf_File_Form,【システム用】添付ファイル,trade_date,取引年月日,単一行
Wf_File_Form,【システム用】添付ファイル,trade_amount,取引金額,数値
Wf_File_Form,【システム用】添付ファイル,trade_partner,取引先,単一行
Wf_File_Form,【システム用】添付ファイル,chunk_index,分割番号,数値
Wf_File_Form,【システム用】添付ファイル,chunk_total,分割総数,数値
Wf_File_Form,【システム用】添付ファイル,data_base64,本体（base64／分割）,複数行
Wf_File_Form,【システム用】添付ファイル,uploaded_by,登録者ID,単一行
Wf_File_Form,【システム用】添付ファイル,uploaded_by_name,登録者,単一行
Wf_File_Form,【システム用】添付ファイル,uploaded_at,登録日時,単一行
Wf_File_Form,【システム用】添付ファイル,deleted,削除（true/false）,単一行
Wf_Notify_Form,【システム用】通知,to_user_id,宛先ID,単一行
Wf_Notify_Form,【システム用】通知,request_id,申請ID,単一行
Wf_Notify_Form,【システム用】通知,request_no,申請番号,単一行
Wf_Notify_Form,【システム用】通知,kind,種別,単一行
Wf_Notify_Form,【システム用】通知,message,本文,単一行
Wf_Notify_Form,【システム用】通知,is_read,既読（true/false）,単一行
Wf_Notify_Form,【システム用】通知,created_time,作成日時,単一行
